#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.100000000000000000e+01 4.125000000000000000e+01 4.112884693279080750e+01 3.605626744694830771e-03 2.384051924621244357e-04 2.069868127824342832e-02 3.388370737858486387e-02 1.153793087233647569e-02 8.710000000000000000e+02
4.125000000000000000e+01 4.150000000000000000e+01 4.137302863967146749e+01 2.052654175482573028e-03 9.701201580701669159e-05 1.304815405310404824e-02 3.342631352324378080e-02 7.872762506216868716e-04 8.950000000000000000e+02
4.150000000000000000e+01 4.175000000000000000e+01 4.161988376519582289e+01 7.895832415677094722e-04 5.122114716813447316e-05 2.310056794229392238e-02 3.993615319154358856e-02 1.834396275437039352e-03 6.270000000000000000e+02
4.175000000000000000e+01 4.200000000000000000e+01 4.186810775858953093e+01 3.950307531201811178e-04 5.421822851234773800e-05 7.240810728500590709e-02 4.385290096535145871e-02 2.098964396874415661e-02 5.200000000000000000e+02
4.200000000000000000e+01 4.225000000000000000e+01 4.211341478162757568e+01 1.396507252233289333e-04 2.165621467814872581e-05 9.082749907766018982e-02 5.564148840746572372e-02 8.605142230392461705e-03 3.230000000000000000e+02
4.225000000000000000e+01 4.250000000000000000e+01 4.236467607583458062e+01 5.106054780361592084e-05 1.488024973265142831e-05 9.395620252764860791e-02 8.703882797784891212e-02 1.104285905234500820e-01 1.320000000000000000e+02
4.250000000000000000e+01 4.275000000000000000e+01 4.260832381498133969e+01 7.908936747642983760e-06 2.282282003903099526e-06 5.893659607876017975e-02 1.543033499620919125e-01 7.533006997087840495e-02 4.200000000000000000e+01
4.275000000000000000e+01 4.300000000000000000e+01 4.284027202571825654e+01 1.947149040795079732e-06 9.531340972401031865e-07 6.101135830392187542e-02 3.779644730092272531e-01 5.052655256749608720e-02 7.000000000000000000e+00
4.300000000000000000e+01 4.325000000000000000e+01 4.307805630899851934e+01 1.475566280221795553e-06 1.919644563760030155e-06 3.000000000003021916e-01 1.000000000000000000e+00 9.544806560898188219e-04 1.000000000000000000e+00
