#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.175000000000000000e+01 4.200000000000000000e+01 4.186810775858953093e+01 1.347451930016421023e-03 1.408495330874631084e-04 1.216582302414405230e-02 8.111071056538125823e-02 1.125375053404014357e-02 1.520000000000000000e+02
4.200000000000000000e+01 4.225000000000000000e+01 4.211341478162757568e+01 6.653544074621483857e-04 8.666016402910636514e-05 3.718278406095855415e-02 8.084520834544431378e-02 1.221862963019407396e-02 1.530000000000000000e+02
4.225000000000000000e+01 4.250000000000000000e+01 4.236467607583458062e+01 2.010924621630389775e-04 2.596762325947341685e-05 4.572927637401085627e-02 7.474350927519358978e-02 8.659967414506830954e-03 1.790000000000000000e+02
4.250000000000000000e+01 4.275000000000000000e+01 4.260832381498133969e+01 8.516702801735969244e-05 1.235875114997242842e-05 4.534478653791942926e-02 9.901475429766742886e-02 7.523814385275977984e-04 1.020000000000000000e+02
4.275000000000000000e+01 4.300000000000000000e+01 4.284027202571825654e+01 2.977218365613310631e-05 6.580399299569927628e-06 6.877189886609598457e-02 1.443375672974064328e-01 7.915614682872039801e-03 4.800000000000000000e+01
4.300000000000000000e+01 4.325000000000000000e+01 4.307805630899851934e+01 2.153318544971773928e-06 8.310987650717354759e-07 8.831580779099354461e-02 2.672612419124243965e-01 3.038477977714764897e-02 1.400000000000000000e+01
4.325000000000000000e+01 4.350000000000000000e+01 4.337769553102700115e+01 3.736842781153850272e-08 7.844759458910500751e-08 1.709699194860441473e-01 7.071067811865475727e-01 1.221224746654614668e+00 2.000000000000000000e+00
