          0.1400000000                   NaN                   NaN
          0.2700000000        -53.0467500000          3.8668716908
          0.5000000000        -17.7752000000          2.2878315927
          0.9200000000         34.8336100000          8.3751787028
          1.7200000000         28.8288800000          3.9425943906
          3.2000000000         17.2667500000          1.6891668106
          5.9600000000         14.0778800000          0.6891115052
         11.0900000000          5.6971500000          0.3348271505
         20.6400000000          2.7339400000          0.1902760218
         38.4300000000          0.0242200000          0.1214896537

