#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.225000000000000000e+01 4.250000000000000000e+01 4.236467607583458062e+01 3.713178793679401961e-04 4.927871404190082048e-05 1.543546595434643932e-02 1.154700538379251629e-01 1.807491834810248318e-03 7.500000000000000000e+01
4.250000000000000000e+01 4.275000000000000000e+01 4.260832381498133969e+01 3.262626351883699070e-04 5.938207860053728790e-05 2.613427635317231226e-02 1.507556722888818146e-01 5.117036516551767659e-03 4.400000000000000000e+01
4.275000000000000000e+01 4.300000000000000000e+01 4.284027202571825654e+01 1.047280103305146733e-04 3.017867889728434853e-05 4.814056972768921555e-02 2.357022603955158113e-01 4.319608961070807093e-03 1.800000000000000000e+01
4.300000000000000000e+01 4.325000000000000000e+01 4.307805630899851934e+01 1.489215673847533868e-05 7.911448538167598879e-06 1.081765754065324991e-01 4.082482904638629617e-01 1.482448082279377161e-02 6.000000000000000000e+00
4.350000000000000000e+01 4.375000000000000000e+01 4.356598242843177360e+01 2.031039895302400341e-07 2.644327618044589036e-07 2.999999999998629319e-01 1.000000000000000000e+00 1.957496827581882339e-03 1.000000000000000000e+00
