#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.050000000000000000e+01 4.075000000000000000e+01 4.064346512674300271e+01 9.407974698846631109e-03 4.808445958441802219e-03 6.054128862189231668e-04 3.575992699260757690e-02 4.747378584568676674e-01 7.820000000000000000e+02
4.075000000000000000e+01 4.100000000000000000e+01 4.088602734535102456e+01 5.415686732937582439e-03 6.039321173723156792e-03 1.373230063457599225e-03 2.802759273356052183e-02 1.085752521836581330e+00 1.273000000000000000e+03
4.100000000000000000e+01 4.125000000000000000e+01 4.112884693279080750e+01 1.045030944315319954e-02 1.164664050105113369e-01 7.640604885893550633e-04 2.881952088521174890e-02 1.111519692910356305e+01 1.204000000000000000e+03
4.125000000000000000e+01 4.150000000000000000e+01 4.137302863967146749e+01 9.127229870358617150e-04 3.117293698726020658e-04 6.275047353401575108e-03 4.099600308453938552e-02 2.942667154563609611e-01 5.950000000000000000e+02
4.150000000000000000e+01 4.175000000000000000e+01 4.161988376519582289e+01 3.455237051126245165e-04 1.383543549453207587e-04 1.164063837599215584e-02 7.106690545187013819e-02 3.177117411535363423e-01 1.980000000000000000e+02
4.175000000000000000e+01 4.200000000000000000e+01 4.186810775858953093e+01 5.394244896375752132e-05 1.424352411907424076e-05 1.356864845070833610e-02 1.474419561548971358e-01 1.030397748764992349e-01 4.600000000000000000e+01
4.200000000000000000e+01 4.225000000000000000e+01 4.211341478162757568e+01 9.635864527236618764e-06 8.335239875435857063e-06 1.534547262770528421e-02 3.333333333333333148e-01 5.163437202352947342e-01 9.000000000000000000e+00
