#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.075000000000000000e+01 4.100000000000000000e+01 4.088602734535102456e+01 8.919037630916042819e-03 6.308891438848719365e-04 7.232956737475018140e-03 5.538487756217113506e-02 8.117279733063177682e-03 3.260000000000000000e+02
4.100000000000000000e+01 4.125000000000000000e+01 4.112884693279080750e+01 7.599046590187872458e-03 5.210296973017121414e-04 1.093664187342865447e-02 4.267895997763199167e-02 1.494953867255215986e-02 5.490000000000000000e+02
4.125000000000000000e+01 4.150000000000000000e+01 4.137302863967146749e+01 2.909876708351228410e-03 2.133362200655338620e-04 2.526291085477172169e-02 3.661260129691062265e-02 1.143900988743620784e-02 7.460000000000000000e+02
4.150000000000000000e+01 4.175000000000000000e+01 4.161988376519582289e+01 1.469004091516665656e-03 1.736103349689564485e-04 2.128633507828090257e-02 3.663716527236558773e-02 6.025883554040835366e-02 7.450000000000000000e+02
4.175000000000000000e+01 4.200000000000000000e+01 4.186810775858953093e+01 4.816866359964749357e-04 4.712435665195147317e-05 2.617661896810836303e-02 4.188539082916955397e-02 2.976996877622838794e-02 5.700000000000000000e+02
4.200000000000000000e+01 4.225000000000000000e+01 4.211341478162757568e+01 1.773568622565417348e-04 1.370750942248811134e-05 1.914911997277793029e-02 4.794633014853841302e-02 1.019228066104594689e-02 4.350000000000000000e+02
4.225000000000000000e+01 4.250000000000000000e+01 4.236467607583458062e+01 6.535327721838864840e-05 9.118097074782572227e-06 2.678383587327799395e-02 6.201736729460422676e-02 5.071891675377009773e-02 2.600000000000000000e+02
4.250000000000000000e+01 4.275000000000000000e+01 4.260832381498133969e+01 2.409070815063799086e-05 4.897167584152670523e-06 6.526366119756427109e-02 9.365858115816939888e-02 4.435810762530165152e-02 1.140000000000000000e+02
4.275000000000000000e+01 4.300000000000000000e+01 4.284027202571825654e+01 2.911889180460699685e-06 1.189368834810381641e-06 8.178095559737105780e-02 2.085144140570747429e-01 1.181572743511230261e-01 2.300000000000000000e+01
4.300000000000000000e+01 4.325000000000000000e+01 4.307805630899851934e+01 3.577705478613474128e-07 2.517648677072447695e-07 1.757753414400920200e-01 5.000000000000000000e-01 2.792950294194276525e-02 4.000000000000000000e+00
