#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.200000000000000000e+01 4.225000000000000000e+01 4.211341478162757568e+01 5.966271733815523795e-05 2.847366115920076210e-05 1.693633273900104624e-02 1.348399724926484244e-01 3.254674816682712191e-01 5.500000000000000000e+01
4.225000000000000000e+01 4.250000000000000000e+01 4.236467607583458062e+01 3.221279960579221158e-06 1.408746745717370424e-06 7.504857461921783657e-02 3.162277660168379412e-01 4.604881053275556441e-02 1.000000000000000000e+01
4.250000000000000000e+01 4.275000000000000000e+01 4.260832381498133969e+01 3.980285897323327631e-07 4.212320369518158407e-07 2.765783677214580516e-01 7.071067811865475727e-01 7.461078213324691399e-02 2.000000000000000000e+00
