# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.46195     -3.31343
      35.2000     -3.07191     -2.94621
      35.4000     -2.99361     -2.90762
      35.6000     -2.90918     -2.85849
      35.8000     -2.81943     -2.76223
      36.0000     -2.75376     -2.71871
      36.2000     -2.68942     -2.66406
      36.4000     -2.62518     -2.61552
      36.6000     -2.53638     -2.52374
      36.8000     -2.47789     -2.46663
      37.0000     -2.46120     -2.47404
      37.2000     -2.50791     -2.54150
      37.4000     -2.57815     -2.68723
      37.6000     -2.70317     -2.89481
      37.8000     -2.90193     -3.22942
      38.0000     -3.10503     -3.54827
      38.2000     -3.43485     -3.85618
      38.4000     -3.65612     -3.83808
      38.6000     -3.55746     -3.30167
      38.8000     -2.74011     -2.56828
      39.0000     -2.20286     -2.10258
      39.2000     -1.91565     -1.84803
      39.4000     -1.75146     -1.68485
      39.6000     -1.61618     -1.54786
      39.8000     -1.49411     -1.42519
      40.0000     -1.42440     -1.38294
      40.2000     -1.43648     -1.39024
      40.4000     -1.43712     -1.39765
      40.6000     -1.42759     -1.38517
      40.8000     -1.42283     -1.37192
      41.0000     -1.42894     -1.39978
      41.2000     -1.45698     -1.45448
      41.4000     -1.48264     -1.60490
      41.6000     -1.58133     -1.88670
      41.8000     -1.80033     -2.28474
      42.0000     -2.12370     -2.75376
      42.2000     -2.48985     -3.20091
      42.4000     -2.81478     -3.83808
      42.6000     -3.22185     -4.50708
      42.8000     -3.61446     -5.13033
      43.0000     -4.14806      0.00000
      43.2000     -4.78791      0.00000
      43.4000     -5.35218      0.00000
