# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.01639     -2.91390
      35.2000     -2.60529     -2.53927
      35.4000     -2.51544     -2.45127
      35.6000     -2.39939     -2.36303
      35.8000     -2.34958     -2.31609
      36.0000     -2.28598     -2.25227
      36.2000     -2.21896     -2.20307
      36.4000     -2.16607     -2.14204
      36.6000     -2.10063     -2.08189
      36.8000     -2.08112     -2.06633
      37.0000     -2.13849     -2.11767
      37.2000     -2.10339     -2.09363
      37.4000     -2.16073     -2.19847
      37.6000     -2.25354     -2.31171
      37.8000     -2.33836     -2.40606
      38.0000     -2.42550     -2.53198
      38.2000     -2.50092     -2.58281
      38.4000     -2.64433     -2.79790
      38.6000     -2.61261     -2.72311
      38.8000     -2.32783     -2.34005
      39.0000     -2.16307     -2.16260
      39.2000     -2.04462     -2.01599
      39.4000     -1.91448     -1.87093
      39.6000     -1.74821     -1.69173
      39.8000     -1.60807     -1.55860
      40.0000     -1.54893     -1.48884
      40.2000     -1.47915     -1.39051
      40.4000     -1.33106     -1.27554
      40.6000     -1.31904     -1.35384
      40.8000     -1.47820     -1.48660
      41.0000     -1.57432     -1.62442
      41.2000     -1.67686     -1.90508
      41.4000     -1.93788     -2.33030
      41.6000     -2.30039     -2.75964
      41.8000     -2.69258     -3.26110
      42.0000     -3.02245     -3.70220
      42.2000     -3.43837     -4.33794
      42.4000     -3.80811     -5.22724
      42.6000     -4.28524      0.00000
      42.8000     -4.98421      0.00000
      43.0000     -5.35218      0.00000
