# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.48688     -3.40117
      35.2000     -3.09852     -2.99108
      35.4000     -3.00000     -2.90866
      35.6000     -2.95251     -2.88482
      35.8000     -2.87458     -2.81689
      36.0000     -2.82800     -2.79068
      36.2000     -2.78398     -2.73764
      36.4000     -2.72142     -2.72413
      36.6000     -2.62927     -2.61235
      36.8000     -2.54307     -2.54375
      37.0000     -2.54714     -2.55862
      37.2000     -2.58330     -2.61979
      37.4000     -2.67458     -2.79668
      37.6000     -2.79068     -3.02042
      37.8000     -2.97805     -3.32551
      38.0000     -3.25876     -3.68318
      38.2000     -3.51967     -3.89481
      38.4000     -3.84703     -3.91023
      38.6000     -3.82930     -3.51124
      38.8000     -3.24159     -2.93499
      39.0000     -2.48906     -2.34174
      39.2000     -2.02476     -1.93615
      39.4000     -1.79319     -1.72448
      39.6000     -1.65775     -1.59153
      39.8000     -1.55250     -1.47641
      40.0000     -1.45659     -1.39363
      40.2000     -1.43860     -1.39158
      40.4000     -1.44165     -1.40204
      40.6000     -1.44406     -1.38917
      40.8000     -1.42191     -1.36374
      41.0000     -1.40606     -1.36423
      41.2000     -1.43128     -1.41128
      41.4000     -1.45105     -1.52578
      41.6000     -1.51107     -1.76455
      41.8000     -1.68364     -2.12498
      42.0000     -1.96166     -2.55607
      42.2000     -2.30569     -3.04114
      42.4000     -2.67549     -3.55746
      42.6000     -3.03972     -4.16655
      42.8000     -3.37142     -5.13033
      43.0000     -3.85618     -5.35218
      43.2000     -4.41433     -5.82930
      43.4000     -4.82930      0.00000
