# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.18783     -3.06588
      35.2000     -2.71369     -2.62302
      35.4000     -2.55147     -2.49365
      35.6000     -2.42362     -2.37829
      35.8000     -2.36347     -2.33307
      36.0000     -2.34629     -2.32415
      36.2000     -2.32375     -2.30504
      36.4000     -2.27409     -2.25946
      36.6000     -2.17024     -2.14906
      36.8000     -2.15197     -2.14842
      37.0000     -2.24576     -2.23436
      37.2000     -2.29073     -2.30413
      37.4000     -2.35684     -2.41802
      37.6000     -2.45236     -2.53550
      37.8000     -2.52374     -2.61872
      38.0000     -2.62927     -2.79588
      38.2000     -2.82156     -2.93058
      38.4000     -2.82930     -2.93168
      38.6000     -2.58527     -2.60920
      38.8000     -2.22174     -2.20214
      39.0000     -2.01506     -1.99083
      39.2000     -1.85849     -1.82744
      39.4000     -1.72237     -1.68408
      39.6000     -1.57711     -1.51613
      39.8000     -1.42966     -1.38822
      40.0000     -1.42244     -1.37320
      40.2000     -1.40637     -1.34345
      40.4000     -1.32494     -1.30148
      40.6000     -1.36734     -1.39035
      40.8000     -1.48609     -1.47204
      41.0000     -1.54578     -1.56921
      41.2000     -1.61279     -1.77634
      41.4000     -1.80049     -2.15684
      41.6000     -2.13470     -2.61632
      41.8000     -2.51989     -3.08894
      42.0000     -2.87894     -3.57645
      42.2000     -3.32280     -4.18585
      42.4000     -3.61712     -4.78791
      42.6000     -4.12173     -5.35218
      42.8000     -4.65321     -5.52827
      43.0000     -4.92621      0.00000
      43.2000     -5.52827      0.00000
      43.4000     -5.52827      0.00000
      43.6000     -5.82930      0.00000
