# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.44549     -3.30039
      35.2000     -3.00976     -2.89028
      35.4000     -2.87506     -2.81185
      35.6000     -2.76823     -2.70317
      35.8000     -2.66614     -2.61287
      36.0000     -2.61658     -2.58676
      36.2000     -2.53749     -2.48906
      36.4000     -2.41200     -2.39842
      36.6000     -2.35757     -2.33710
      36.8000     -2.30000     -2.29502
      37.0000     -2.31930     -2.32920
      37.2000     -2.40524     -2.43450
      37.4000     -2.48550     -2.59378
      37.6000     -2.58975     -2.71303
      37.8000     -2.72516     -2.93554
      38.0000     -2.93499     -3.18487
      38.2000     -3.13120     -3.45273
      38.4000     -3.27785     -3.52181
      38.6000     -2.98050     -2.87506
      38.8000     -2.30764     -2.21918
      39.0000     -1.94321     -1.89759
      39.2000     -1.77958     -1.73915
      39.4000     -1.66546     -1.61778
      39.6000     -1.56305     -1.49485
      39.8000     -1.43671     -1.38621
      40.0000     -1.43319     -1.39403
      40.2000     -1.43300     -1.38134
      40.4000     -1.38951     -1.34506
      40.6000     -1.39174     -1.38261
      40.8000     -1.44149     -1.41208
      41.0000     -1.47919     -1.46601
      41.2000     -1.50970     -1.57517
      41.4000     -1.58938     -1.82451
      41.6000     -1.78874     -2.20071
      41.8000     -2.11022     -2.62491
      42.0000     -2.44477     -3.12601
      42.2000     -2.82198     -3.58627
      42.4000     -3.17803     -4.19584
      42.6000     -3.53484     -5.22724
      42.8000     -4.00976      0.00000
      43.0000     -4.48688      0.00000
      43.2000     -5.22724      0.00000
