# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.50297     -3.30296
      35.2000     -3.05479     -2.92082
      35.4000     -2.93610     -2.83323
      35.6000     -2.85710     -2.77431
      35.8000     -2.75742     -2.70709
      36.0000     -2.66465     -2.61685
      36.2000     -2.57067     -2.54987
      36.4000     -2.50338     -2.48022
      36.6000     -2.42327     -2.41216
      36.8000     -2.38401     -2.36721
      37.0000     -2.38230     -2.38495
      37.2000     -2.45511     -2.50011
      37.4000     -2.53132     -2.62818
      37.6000     -2.62086     -2.80770
      37.8000     -2.79228     -3.03832
      38.0000     -2.97805     -3.35074
      38.2000     -3.26346     -3.59631
      38.4000     -3.46758     -3.61712
      38.6000     -3.11080     -2.94508
      38.8000     -2.40101     -2.30193
      39.0000     -2.01247     -1.95326
      39.2000     -1.82839     -1.77981
      39.4000     -1.71041     -1.65866
      39.6000     -1.59626     -1.53238
      39.8000     -1.49147     -1.43062
      40.0000     -1.45267     -1.40421
      40.2000     -1.44481     -1.40068
      40.4000     -1.42057     -1.37038
      40.6000     -1.41036     -1.38269
      40.8000     -1.43668     -1.39894
      41.0000     -1.46107     -1.44152
      41.2000     -1.48702     -1.52639
      41.4000     -1.54397     -1.73232
      41.6000     -1.69573     -2.06535
      41.8000     -1.98371     -2.48747
      42.0000     -2.30634     -2.93058
      42.2000     -2.65728     -3.44549
      42.4000     -3.00714     -4.02312
      42.6000     -3.41937     -4.87506
      42.8000     -3.85158     -5.35218
      43.0000     -4.21652     -5.82930
      43.2000     -5.13033     -5.82930
      43.4000     -5.82930      0.00000
      43.6000     -5.52827      0.00000
